Course Code,Section,Credits,Title,Professor,Days,Start Time,End Time,Begin Date,End Date,Location,Building,Room,Comment,SOPHIA,Via Viking,Signature,Foundational Area or Knowledge Area,Comp 1,Comp 2
AUAC 0650,A,3,Employment Seminar I,Mali Teller,TR,9:25 AM,10:40 AM,08/26/2026,12/11/2026,MAIN,MC,220,,,,,,,
AUAC 0700,A,3,Skills for Social Settings,Lindsey Wyatt,TR,1:40 PM,2:55 PM,08/26/2026,12/11/2026,MAIN,MC,220,,,,,,,
BIOL 1000,A1,4,Biology and Human Concerns Lecture,Sally Mallowa,MWF,2:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,113A,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1000,A1,4,Biology and Human Concerns Lecture,Sally Mallowa,R,1:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,211,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1000,B1,4,Biology and Human Concerns Lecture,Sally Mallowa,MWF,2:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,113A,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1000,B1,4,Biology and Human Concerns Lecture,Sally Mallowa,R,3:10 PM,5:00 PM,08/26/2026,12/11/2026,MAIN,FSC,211,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1022,A,4,Human Anatomy Lecture & Lab,Kevin Natukunda,MWF,9:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,114,1023 too,,,,,,
BIOL 1023,A,0,Human Anatomy Lab,Kevin Natukunda,T,8:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,216,1022 too,,,,,,
BIOL 1023,B,0,Human Anatomy Lab,Kevin Natukunda,T,10:00 AM,11:50 AM,08/26/2026,12/11/2026,MAIN,FSC,216,1022 too,,,,,,
BIOL 1100,A1,4,Biological Principles I,Joel Nelson,MWF,8:00 AM,8:50 AM,08/26/2026,12/11/2026,MAIN,FSC,114,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,A1,4,Biological Principles I,Joel Nelson,T,3:10 PM,5:00 PM,08/26/2026,12/11/2026,MAIN,FSC,211,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,A2,4,Biological Principles I,Joel Nelson,MWF,8:00 AM,8:50 AM,08/26/2026,12/11/2026,MAIN,FSC,114,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,A2,4,Biological Principles I,Joel Nelson,R,8:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,B1,4,Biological Principles I,Paul Egland,MWF,9:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,B1,4,Biological Principles I,Stephanie A Bruggeman,T,3:10 PM,5:00 PM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,B2,4,Biological Principles I,Paul Egland,MWF,9:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,B2,4,Biological Principles I,Joel Nelson,R,8:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,C1,4,Biological Principles I,Rosanna Beraldi,MWF,12:00 PM,12:50 PM,08/26/2026,12/11/2026,MAIN,FSC,,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,C1,4,Biological Principles I,Rosanna Beraldi,T,10:15 AM,12:05 PM,08/26/2026,12/11/2026,MAIN,FSC,211,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,C2,4,Biological Principles I,Rosanna Beraldi,MWF,12:00 PM,12:50 PM,08/26/2026,12/11/2026,MAIN,FSC,,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,C2,4,Biological Principles I,Stephanie A Bruggeman,T,1:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,D1,4,Biological Principles I,Sally Mallowa,MWF,12:00 PM,12:50 PM,08/26/2026,12/11/2026,MAIN,FSC,113A,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,D1,4,Biological Principles I,Sally Mallowa,R,10:15 AM,12:05 PM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,D2,4,Biological Principles I,Sally Mallowa,MWF,12:00 PM,12:50 PM,08/26/2026,12/11/2026,MAIN,FSC,113A,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,D2,4,Biological Principles I,Stephanie A Bruggeman,T,1:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,E1,4,Biological Principles I,Amy R. Lewis,MWF,1:00 PM,1:50 PM,08/26/2026,12/11/2026,MAIN,FSC,374,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,E1,4,Biological Principles I,Amy R. Lewis,T,8:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,211,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,E2,4,Biological Principles I,Amy R. Lewis,MWF,1:00 PM,1:50 PM,08/26/2026,12/11/2026,MAIN,FSC,374,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,E2,4,Biological Principles I,Amy R. Lewis,T,1:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,211,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,F1,4,Biological Principles I,Alexander D Kloth,MWF,2:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,374,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,F1,4,Biological Principles I,Stephanie A Bruggeman,T,10:15 AM,12:05 PM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,F2,4,Biological Principles I,Alexander D Kloth,MWF,2:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,374,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,F2,4,Biological Principles I,Amy R. Lewis,T,1:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,211,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,G1,4,Biological Principles I,Diane Roeder,TR,10:50 AM,12:05 PM,08/26/2026,12/11/2026,MAIN,FSC,114,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,G1,4,Biological Principles I,Diane Roeder,R,1:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,G2,4,Biological Principles I,Diane Roeder,TR,10:50 AM,12:05 PM,08/26/2026,12/11/2026,MAIN,FSC,114,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1100,G2,4,Biological Principles I,Stephanie A Bruggeman,R,3:10 PM,5:00 PM,08/26/2026,12/11/2026,MAIN,FSC,212,,NS,Selective,,The Natural World,Analytical Reasoning,Information Literacy
BIOL 1102,A,4,Biological Principles II,Steven Matzner,MWF,1:00 PM,1:50 PM,08/26/2026,12/11/2026,MAIN,FSC,113A,,,,,,,
BIOL 1103,A,0,Biological Principles II Lab,Steven Matzner,R,8:30 AM,11:20 AM,08/26/2026,12/11/2026,MAIN,FSC,211,,,,,,,
BIOL 2020,A,4,Human Physiology,Lisa Baye / Demetra Kelenis,MWF,11:00 AM,11:50 AM,08/26/2026,12/11/2026,MAIN,FSC,114,2021 too,,,,,,
BIOL 2020,B,4,Human Physiology,Lisa Baye / Demetra Kelenis,MWF,2:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,FSC,113B,2021 too,,,,,,
BIOL 2021,A,0,Human Physiology Laboratory,Rosanna Beraldi,R,8:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,FSC,118,2020 too,,,,,,
